month,cpi,oil_nominal,gas_nominal,diesel_nominal
August 1985,1.0790000000,26.6100000000,1.1960200000,1.1350000000
September 1985,1.0810000000,26.5600000000,1.1794200000,1.1590000000
October 1985,1.0850000000,26.7900000000,1.1670000000,1.1880000000
November 1985,1.0900000000,27.1200000000,1.1665700000,1.2240000000
December 1985,1.0950000000,26.2100000000,1.1620000000,1.2270000000
January 1986,1.0990000000,24.9300000000,1.1492600000,1.1800000000
February 1986,1.0970000000,18.1100000000,1.0774000000,1.0360000000
March 1986,1.0910000000,14.2200000000,0.9439100000,0.9270000000
April 1986,1.0870000000,13.1500000000,0.8590600000,0.8950000000
May 1986,1.0900000000,13.1700000000,0.8929900000,0.8820000000
June 1986,1.0940000000,12.2500000000,0.9217800000,0.8440000000
July 1986,1.0950000000,10.9100000000,0.8541300000,0.7820000000
August 1986,1.0960000000,11.8700000000,0.8086500000,0.8100000000
September 1986,1.1000000000,12.8500000000,0.8221600000,0.8270000000
October 1986,1.1020000000,12.7800000000,0.7926700000,0.8130000000
November 1986,1.1040000000,13.4600000000,0.7792000000,0.8290000000
December 1986,1.1080000000,14.1700000000,0.7756400000,0.8410000000
January 1987,1.1140000000,16.4500000000,0.8160800000,0.8960000000
February 1987,1.1180000000,16.9800000000,0.8616400000,0.9010000000
March 1987,1.1220000000,17.2600000000,0.8746600000,0.8960000000
April 1987,1.1270000000,17.8900000000,0.9052300000,0.9010000000
May 1987,1.1300000000,18.2500000000,0.9110600000,0.9120000000
June 1987,1.1350000000,18.7100000000,0.9247900000,0.9220000000
July 1987,1.1380000000,19.2600000000,0.9354200000,0.9460000000
August 1987,1.1430000000,19.3200000000,0.9611900000,0.9590000000
September 1987,1.1470000000,18.5700000000,0.9526200000,0.9700000000
October 1987,1.1500000000,18.5300000000,0.9381900000,0.9730000000
November 1987,1.1540000000,18.1400000000,0.9347500000,0.9850000000
December 1987,1.1560000000,17.2000000000,0.9141300000,0.9770000000
January 1988,1.1600000000,15.4500000000,0.8873400000,0.9550000000
February 1988,1.1620000000,15.4300000000,0.8696700000,0.9320000000
March 1988,1.1650000000,14.7300000000,0.8666300000,0.9220000000
April 1988,1.1720000000,15.6200000000,0.9012100000,0.9340000000
May 1988,1.1750000000,15.9300000000,0.9251100000,0.9380000000
June 1988,1.1800000000,15.5000000000,0.9217800000,0.9190000000
July 1988,1.1850000000,14.8100000000,0.9314000000,0.9050000000
August 1988,1.1900000000,14.3200000000,0.9531700000,0.8990000000
September 1988,1.1950000000,13.8400000000,0.9365600000,0.8970000000
October 1988,1.1990000000,13.0500000000,0.9191200000,0.8850000000
November 1988,1.2030000000,12.6600000000,0.9076500000,0.8930000000
December 1988,1.2070000000,14.1100000000,0.8830200000,0.9180000000
January 1989,1.2120000000,16.0400000000,0.8722800000,0.9420000000
February 1989,1.2160000000,16.6100000000,0.8827100000,0.9440000000
March 1989,1.2220000000,17.7700000000,0.9027600000,0.9620000000
April 1989,1.2310000000,19.5900000000,1.0366900000,1.0080000000
May 1989,1.2370000000,19.0500000000,1.0896900000,0.9940000000
June 1989,1.2410000000,18.2700000000,1.0813400000,0.9660000000
July 1989,1.2450000000,17.9900000000,1.0568500000,0.9580000000
August 1989,1.2450000000,17.2300000000,1.0234100000,0.9540000000
September 1989,1.2480000000,17.6200000000,0.9917600000,0.9990000000
October 1989,1.2540000000,18.2900000000,0.9893700000,1.0260000000
November 1989,1.2590000000,18.3200000000,0.9578300000,1.0400000000
December 1989,1.2630000000,20.0500000000,0.9331900000,1.1310000000
January 1990,1.2750000000,20.5100000000,0.9967200000,1.2140000000
February 1990,1.2800000000,19.7800000000,0.9941100000,1.0680000000
March 1990,1.2860000000,18.9400000000,0.9860600000,1.0270000000
April 1990,1.2890000000,16.6600000000,1.0156200000,1.0200000000
May 1990,1.2910000000,16.0700000000,1.0314800000,1.0040000000
June 1990,1.2990000000,15.1500000000,1.0552500000,0.9750000000
July 1990,1.3050000000,16.5400000000,1.0488200000,0.9850000000
August 1990,1.3160000000,24.2600000000,1.1568900000,1.2050000000
September 1990,1.3250000000,29.8800000000,1.2577000000,1.3310000000
October 1990,1.3340000000,32.8800000000,1.3416200000,1.4360000000
November 1990,1.3370000000,30.1900000000,1.3371700000,1.4050000000
December 1990,1.3420000000,25.5600000000,1.3085200000,1.3610000000
January 1991,1.3470000000,22.3000000000,1.1800000000,1.2870000000
February 1991,1.3480000000,18.3000000000,1.0942500000,1.1850000000
March 1991,1.3480000000,17.5800000000,1.0400000000,1.0920000000
April 1991,1.3510000000,18.3200000000,1.0762000000,1.0770000000
May 1991,1.3560000000,18.3600000000,1.1257500000,1.0730000000
